Designator,Mid X,Mid Y,Layer,Rotation
C1,108.9300,-133.1700,Top,0
C2,109.1400,-131.2200,Top,0
C3,111.3700,-122.5200,Top,90
C4,108.1100,-123.9500,Top,90
C5,128.1200,-111.3400,Top,90
C6,137.8500,-105.1300,Top,0
C7,109.5700,-122.5200,Top,90
C8,108.1100,-121.9500,Top,90
C9,114.7500,-121.5000,Top,0
C10,118.8500,-120.7000,Top,0
C11,118.8500,-119.5000,Top,0
C12,105.6000,-121.5000,Top,180
C13,105.6000,-130.6000,Top,0
C14,124.0000,-124.1000,Top,0
C15,121.5000,-112.7500,Top,0
C16,133.2700,-123.7400,Top,270
C17,135.5500,-120.6000,Top,90
C18,135.4500,-124.6000,Top,90
C19,130.8000,-111.3000,Top,90
C20,133.2700,-112.0000,Top,90
C21,140.6000,-127.3000,Top,270
C22,133.2700,-120.1400,Top,90
C23,143.1000,-127.3000,Top,270
C24,145.6000,-127.3000,Top,270
C25,138.2800,-124.6000,Top,90
C28,128.4000,-118.4500,Top,90
C29,112.6000,-127.7000,Top,0
D1,134.4875,-105.1000,Top,180
D2,132.4500,-102.2900,Top,0
D3,114.6500,-132.7500,Top,180
D4,138.4500,-120.3000,Top,90
D5,130.8700,-130.7500,Top,90
D6,132.0200,-127.1000,Top,0
J1,121.0000,-130.0000,Top,0
J3,123.4000,-103.1600,Top,180
J4,143.0750,-116.8000,Top,90
L1,122.8400,-115.7000,Top,0
L2,122.8400,-120.4900,Top,0
Q1,141.6000,-105.0375,Top,270
Q2,127.2500,-115.2700,Top,270
Q3,130.6400,-115.3100,Top,90
Q4,114.2500,-125.1700,Top,270
Q5,114.2500,-129.3700,Top,270
Q6,127.4500,-122.7800,Top,270
R1,121.9800,-110.6300,Top,270
R2,120.7900,-110.6300,Top,270
R3,129.4100,-105.2800,Top,270
R4,133.9000,-106.5000,Top,180
R5,130.6100,-105.2800,Top,90
R6,116.6000,-121.5000,Top,0
R7,111.1000,-106.4000,Top,0
R8,111.8500,-132.7500,Top,0
R10,105.6000,-125.3000,Top,0
R11,105.6000,-126.3000,Top,0
R12,127.2100,-118.4700,Top,90
R13,132.7000,-116.3000,Top,270
R14,135.4500,-116.1000,Top,90
R15,135.4500,-112.5000,Top,90
R16,135.4500,-108.9000,Top,90
R17,131.8000,-105.2800,Top,90
R18,109.3100,-125.5000,Top,270
R19,113.0200,-121.9800,Top,270
R20,111.4000,-124.6500,Top,180
R21,111.4000,-126.0000,Top,0
R22,141.2000,-107.6000,Top,0
R23,144.0000,-107.1100,Top,90
R24,126.0200,-118.4700,Top,270
SW1,106.2000,-102.9000,Top,0
SW2,113.9000,-102.9000,Top,0
U1,111.8000,-113.9500,Top,90
U2,109.5000,-128.3500,Top,270
U3,124.7900,-111.3400,Top,270
U4,138.2000,-102.2500,Top,270
U5,102.6000,-122.4000,Top,90
Y1,119.0900,-116.8400,Top,90
